Артикул;ID KIT;Найден у поставщика;Москва;Владивосток;Фото;Характеристики
00178262;408821;нет;0;0;1;0
12345;399102;нет;0;0;1;0
11450024;304777;да;0;1;1;4
00006148;304776;нет;0;0;1;0
00006149;304775;да;0;5;1;13
00006150;304774;да;21;0;1;13
00006151;304773;да;0;4;1;12
00006152;304772;да;5;5;1;12
00006153;304771;да;3;2;1;12
00006162;304770;да;0;1;1;12
00006163;304769;да;8;10;1;12
00006164;304768;да;8;6;1;12
00006165;304767;да;1;2;1;12
00006166;304766;да;2;8;1;12
00006168;304765;да;5;6;1;12
00006169;304764;да;0;9;1;12
00006170;304763;да;3;3;1;12
00006172;304762;да;0;1;1;12
00006173;304761;да;0;14;1;12
00006174;304760;нет;0;0;1;0
00006175;304759;да;12;7;1;12
00006178;304758;да;6;6;1;12
00006179;304757;да;2;4;1;12
00006180;304756;да;9;5;1;12
00006552;304755;да;6;6;1;12
00143243;304754;нет;0;0;1;0
00160950;304753;да;9;3;1;6
00180923;304752;да;26;2;1;11
00182818;304751;нет;0;0;1;0
00184758;304750;да;4;3;1;8
00187114;304749;нет;0;0;1;0
00187115;304748;нет;0;0;1;0
00188401;304747;да;8;6;1;11
00198096;304746;да;0;3;1;7
00198097;304745;да;0;10;1;9
00198099;304744;да;0;9;1;6
00006283;304743;да;454;222;1;15
00151272;304742;да;15;15;1;7
00151274;304741;да;43;43;1;7
00151276;304740;да;162;139;1;8
00161823;304739;нет;0;0;1;0
11252386;304738;да;20;20;1;7
11252387;304737;да;20;20;1;10
11252388;304736;да;18;18;1;8
11252389;304735;да;15;23;1;8
00178423;304734;нет;0;0;1;0
00178432;304733;да;5;9;1;6
11408895;304732;да;18;183;1;9
00183949;304731;да;26;9;1;7
00183950;304730;да;18;18;1;6
00183951;304729;да;20;10;1;6
00193306;304728;да;9;5;1;7
00193307;304727;да;21;26;1;7
00193310;304726;да;1;7;1;7
00193313;304725;да;10;16;1;6
00193323;304724;да;8;4;1;7
00195576;304723;да;0;1;1;6
00195752;304722;да;118;127;1;8
00195999;304721;да;4;5;1;7
00196000;304720;да;9;8;1;7
00196001;304719;да;18;16;1;7
00196002;304718;да;11;6;1;7
00196003;304717;да;8;5;1;7
00199936;304716;да;28;20;1;11
00199937;304715;да;26;20;1;10
00199938;304714;да;10;10;1;9
00199940;304713;нет;0;0;1;0
00199942;304712;да;7;0;1;9
00199944;304711;да;1;2;1;9
00199946;304710;да;5;12;1;8
00199947;304709;да;7;5;1;9
00199948;304708;да;5;7;1;9
00199949;304707;да;2;7;1;9
00199950;304706;да;3;5;1;8
00176235;304705;нет;0;0;1;0
00176237;304704;да;7;3;1;15
00180460;304703;да;2;0;1;13
00182304;304702;нет;0;0;1;0
00182308;304701;нет;0;0;1;0
00184750;304700;да;1;0;1;19
00184752;304699;нет;0;0;1;0
00192407;304698;да;1;0;1;19
00192408;304697;нет;0;0;1;0
00193383;304696;да;1;0;1;19
00195084;304695;да;2;2;1;15
00195088;304694;да;12;4;1;15
00188389;304693;да;1;1;1;19
00188391;304692;да;3;3;1;20
00188392;304691;да;4;5;1;20
00188393;304690;да;1;2;1;18
00188394;304689;да;2;0;1;19
00188614;304688;да;2;3;1;16
11539335;304687;да;2;1;1;15
00196566;304686;нет;0;0;1;0
00196567;304685;да;1;1;1;11
00197723;304684;да;2;5;1;11
00101969;304683;да;4;0;1;14
00198763;304682;да;16;18;1;5
00183333;304681;нет;0;0;1;0
00195818;304680;нет;0;0;1;0
00195819;304679;да;0;12;1;9
00195820;304678;нет;0;0;1;0
00196899;304677;да;68;47;1;7
00200043;304676;да;0;20;1;8
00200059;304675;да;15;12;1;6
00200060;304674;да;9;3;1;8
00055788;304673;да;55;22;1;15
00025183;304672;да;0;4;1;8
00025185;304671;да;0;2;1;12
00087785;304670;да;7;13;1;14
00144322;304669;нет;0;0;1;0
00152558;304668;да;4;5;1;10
00178233;304667;нет;0;0;1;0
00178319;304666;да;6;0;1;9
00186157;304665;да;6;0;1;8
00191841;304664;да;6;4;1;12
00193301;304663;да;2;5;1;6
00193772;304662;да;0;5;1;9
00196089;304661;да;49;32;1;10
00196560;304660;да;20;21;1;7
00196563;304659;да;55;35;1;7
00196891;304658;да;10;2;1;7
00196892;304657;да;1;0;1;8
00196893;304656;да;6;0;1;8
00198947;304655;да;30;35;1;12
00198962;304654;да;18;18;1;11
00199951;304653;да;9;10;1;9
00199952;304652;да;2;0;1;9
00199954;304651;да;0;11;1;9
00200122;304650;да;6;1;1;7
00200124;304649;да;2;0;1;7
00200125;304648;да;2;4;1;6
00200305;304647;да;10;6;1;10
00096381;304646;да;0;70;1;13
00073903;304645;да;7;22;1;25
00080549;304644;да;4;21;1;25
00087125;304643;нет;0;0;1;0
00093893;304642;да;0;5;1;26
00093894;304641;да;1;2;1;26
00138240;304640;да;4;2;1;25
00138241;304639;да;6;2;1;23
00100535;304638;да;41;0;1;26
00100712;304637;да;7;9;1;23
00101068;304636;да;50;0;1;24
00101927;304635;да;17;12;1;24
11286753;304634;нет;0;0;1;0
11286755;304633;нет;0;0;1;0
11286756;304632;да;11;5;1;25
11286757;304631;да;38;37;1;25
11286758;304630;да;45;6;1;25
11286759;304629;да;39;13;1;24
11286760;304628;да;12;5;1;23
11286761;304627;да;11;9;1;22
11286762;304626;да;7;2;1;23
11286763;304625;да;11;15;1;23
11286764;304624;да;50;0;1;23
11286767;304623;да;6;3;1;22
00175130;304622;да;5;13;1;24
00175136;304621;да;1;0;1;22
00175137;304620;нет;0;0;1;0
00175148;304619;да;0;1;1;22
00175159;304618;да;8;9;1;22
00175165;304617;нет;0;0;1;0
00175170;304616;да;2;0;1;21
00175171;304615;да;0;7;1;22
00175172;304614;нет;0;0;1;0
00175217;304613;да;1;1;1;23
00179769;304612;да;2;0;1;22
00181763;304611;нет;0;0;1;0
11614835;304610;да;11;1;1;25
11614836;304609;да;2;0;1;25
11614837;304608;да;3;3;1;25
11614838;304607;да;3;0;1;25
11614839;304606;да;2;0;1;25
11614840;304605;нет;0;0;1;0
11614842;304604;нет;0;0;1;0
11614843;304603;да;4;6;1;26
11614844;304602;нет;0;0;1;0
11614876;304601;нет;0;0;1;0
11614877;304600;да;6;0;1;27
11614879;304599;нет;0;0;1;0
11614880;304598;нет;0;0;1;0
11614889;304597;нет;0;0;1;0
11614890;304596;нет;0;0;1;0
00199623;304595;да;4;16;1;24
00199625;304594;да;4;17;1;23
00080514;304593;да;3;1;1;25
